,Dept + Number,Professor,Median Grade,Semester (Ex: SP21),# of Students,Notes,Semester
334,FGSS 1117,Nesvaderani,A,FA20,16,,2.0
178,CRP 3840,Schmidt,B+,FA20,32,,2.0
308,ENGRD 2202,Doerschuk,B+,FA20,45,Crosslisted with BME 2000,2.0
189,CS 2802,Halpern,A-,FA20,29,,2.0
446,LSP 2770,Diaz/Ngugi,A+,FA20,27,,2.0
311,ENGRD 2510,Goldfarb,B+,FA20,72,Crosslisted with BEE 2510,2.0
317,ENGRD/MAE 2210,Pepiot,B+,FA20,171,,2.0
428,INFO 2750,Doing,A-,FA20,45,,2.0
213,CS 4620,Marschner/Davis,A-,FA20,163,,2.0
259,ECE 2200,Tong,A-,FA20,42,,2.0
219,CS 4775,Williams,A,FA20,41,,2.0
297,ENGL 1168 (FWS: Reading Roleplaying Games),Lloyd,A,FA20,,,2.0
447,MAE 2030,"Jacobson, Smith, Thomas",B,SP20,132,,3.0
361,HADM 1210,Ritz/Yeo,B,SP20,216,Crosslisted with MAE 2020,3.0
316,ENGRD 3200,Cowen,B,SP20,63,crosslisted with CEE 3200,3.0
363,HADM 1350,Roberts,A-,SP20,145,,3.0
296,ENGL 1168,Various (FWS),A,FA19,189,,4.0
75,BEE 2600,March,B+,FA19,27,,4.0
307,ENGRD 2190,Duncan,B,FA19,51,,4.0
618,SPAN 2095,"Amigo-Silvestre, Maldonado-Mendez",B+,FA19,54,,4.0
355,GOVT 3303,Lowell,A-,FA19,113,,4.0
354,GOVT 3281,Chutkow,A-,FA19,135,,4.0
69,ASTRO 1700,Tagliacozzo/Squyres,A-,FA19,92,Squyres no longer teaches at Cornell,4.0
625,STS 3011,Roebuck,A,FA19,74,,4.0
35,AEP 1100,MacMahon,B+,FA19,28,,4.0
602,PSYCH 2230,DeVoogd,B,FA19,87,,4.0
606,ROMS 1113 (FWS),Eibenstein-Alvisi,A-,FA19,,,4.0
284,ECON 3800,Hay,A-,FA19,52,yo fuck this professor,4.0
318,ENGRI 1100,MacMahon,B+,FA19,28,,4.0
46,AEP 4500,Fennie,A-,FA19,22,,4.0
303,ENGL 3705,Levine,A-,FA19,,,4.0
599,PSYCH 1120,Anderson,A,FA19,34,,4.0
309,ENGRD 2210,Pepiot,B+,FA19,184,,4.0
299,ENGL 1170,Various (FWS),A,FA19,134,,4.0
345,GERST 1220,Matthias,B+,FA19,16,,4.0
589,PHYS 3327,Gibbons,A-,FA19,37,,4.0
50,AMST 3032,Washington,A,FA19,~17,,4.0
310,ENGRD 2250,Lohman,A,FA19,28,,4.0
276,ECON 2801,Basu,A-,FA19,67,,4.0
324,ENGRI 1160,Hover,A,FA19,49,,4.0
518,MUSIC 3634,Sparhuber,A+,FA19,12,,4.0
529,NS 3600,Finkelstein,A-,FA19,49,,4.0
528,NS 3450,Aydemir/Nugen,A,FA19,,,4.0
400,HIST 1511,Weil,B+,FA19,33,,4.0
519,MUSIC 4621,Kilburn,A,FA19,17,,4.0
564,PHIL 3480,Markovits,A-,FA19,25,,4.0
231,DEA 2700,Wells,A+,FA19,388,,4.0
514,MUSIC 3111,Merrill,A-,FA19,12,,4.0
409,ILRLE 3480,Ehrenberg,A,FA19,57,,4.0
140,CEE 4090,Multiple (Research),A,FA19,12,,4.0
501,MATH 4710,Saloff-Coste,B+,FA19,64,dont take this class pls,4.0
418,ILRLR 3071,Applegate,A-,FA19,44,,4.0
157,CHEM 3890,Ananth,A-,FA19,93,,4.0
218,CS 4750,Knepper,A-,FA19,83,,4.0
159,CHEM 4610,Various (Research Credit),A,FA19,20,,4.0
160,CHEME 2880,Paszek,B+,FA19,47,,4.0
458,MAE 4340,"Shepherd, Simoncini",A+,FA19,,,4.0
393,HD 3660,Anderson,A+,FA19,56,,4.0
391,HD 2600,Zayas,A-,FA19,,,4.0
253,EAS 3410,Wysocki,B,FA19,14,,4.0
94,BIOEE 4500,Searle,B+,FA19,,,4.0
373,HADM 2210,Paz,B+,FA19,,Fall 2021,4.0
558,PHIL 1111,Manne,A-,FA19,50,,4.0
91,BIOEE 1781,Hernandez,A-,FA19,26,,4.0
379,HADM 2410,Li,A-,FA19,246,,4.0
378,HADM 2360,Gaulke,A-,FA19,120,,4.0
243,EAS 1540,Monger,A-,FA19,887,,4.0
112,BIOMI 3210,Hay,B+,FA19,24,,4.0
104,BIOMG 3310,Feigenson (retired Fall 2019),B+,FA19,221,,4.0
251,EAS 2900,Wysocki,B,SP19,17,,5.0
531,NTRES 2010,Yavitt,A,SP19,105,,5.0
250,EAS 2680,DeGaetano,B+,SP19,69,,5.0
331,FDSC 1101,Loss,A,SP19,84,,5.0
302,ENGL 1191 (FWS: British Literature),Various (FWS),A,SP19,77,,5.0
444,LING 3321,Alkire,A,FA18,19,,6.0
161,CHIN 1101,Divo,A-,FA18,45,,6.0
435,ITAL 1113,Wittelsbach,A,FA18,16,,6.0
81,BEE 4730,Walter,A-,FA18,49,,6.0
480,MATH 2310,Borum,A-,FA18,37,N,6.0
448,MAE 3050,Bewley,A-,FA18,45,,6.0
467,MATH 1220,Benjimin,B+,FA18,10,,6.0
417,ILRLR 3055,Nelson,A,FA18,48,,6.0
241,EAS 1310,Wysocki,B-,FA18,32,,6.0
242,EAS 1330,Wysocki,A-,FA18,11,Rubric usually TA-designed,6.0
239,DSOC 2710,Sipple,A-,FA18,64,,6.0
63,ASIAN 1111,Burgess,A,FA18,64,,6.0
598,PSYCH 1103,Pizarro/Werth/Others,A+,FA18,29,PSYCH 1101 opt supplement,6.0
350,GOVT 2225,Haskins,A,FA18,249,,6.0
102,BIOMG 2801,Blake,B+,FA18,142,,6.0
232,DEA 3510,Hedge,B,FA18,14,,6.0
92,BIOEE 2070,Fletcher,A,FA18,34,,6.0
130,BTRY 4030,Giles,B+,FA18,64,,6.0
293,ENGL 1147,Various (FWS),A,FA18,99,,6.0
614,SPAN 2070,Arias Fuentes,A-,FA18,47,,6.0
176,COMM 2200,Humphreys,A-,FA18,95,Cookie Cutter Essays,6.0
512,MUSIC 2101,Moseley,B+,FA18,27,,6.0
82,BEE 4750,Anderson,A-,FA18,43,,6.0
172,COML 1109,Various (FWS),A-,FA17,,,8.0
141,CEE 4510,Richardson,A-,FA17,44,,8.0
0,SEARCH BEFORE ADDING YOUR CLASS,,,,,,
