,Dept,Number,Course_Name,Professor,Start_Time,End_Time,Location,Description,Pre/coreqs,Offered,Dept + Number,Median Grade,Semester (Ex: SP21)
203,ECE,5320,Integrated Micro Sensors and Actuators: Bridging the Physical and Digital Worlds,Amit Lal,02:45PM,04:00PM,Thurston Hall 203,"Introduction to micro and nano devices that allow the digital world to both sense and actuate in the physical world. Design and analysis of modern MEMS/NEMS (Micro/Nano Electromechanical Systems) touch, accelerometers, gyroscopes, pressure, microphones, neural probe sensors. Design and analysis of electrostatic, piezoelectric, thermal, and magnetic actuators for frequency control and micro robotic applications. This is an interdisciplinary course drawing from mechanics, materials, solid state devices, CMOS electronics, and micro and nano fabrication. The students design, fabricate, and test a microsensor chip to implement class concepts.","Prerequisite: ECE 2100 or equivalent, or permission of instructor.",Spring.,ECE 5320,,
204,ECE,5380,Electromagnetic and Optical Metamaterials,Francesco Monticone,01:00PM,02:15PM,Upson Hall 206,"Introductory Senior-level course on electromagnetic and optical metamaterials. The properties of matter can be molded and tailored on subwavelength spatial scales yielding 'metamaterials' with properties very different from naturally occurring materials, thereby opening up new directions for applications. The course introduces the electromagnetic and optical properties of surface plasmons and polaritons, artificial magnetic materials, negative-index materials, nanostructured optical materials, etc. The course also discusses the applications of these materials in diverse areas including electromagnetic cloaking and invisibility, stealth technologies, optical super-lensing, bio-chemical sensing, conformal optics, meta-surfaces, and non-reciprocal devices.",Prerequisite: ECE 3030 or AEP 3550 or permission of instructor.,Spring.,ECE 5380,,
205,ECE,5412,Bayesian Estimation and Stochastic Optimization,Vikram Krishnamurthy,08:05AM,09:20AM,Phillips Hall 307,"Covers essential topics in high dimensional statistical inference, stochastic optimization, Bayesian statistical signal processing and Markov Chain Monte-Carlo stochastic simulation. The course is four inter-related parts. Part 1 covers the basics of probabilistic models, Markov chain Monte-Carlo simulation and regression with sparsity constraints. Part 2 covers Bayesian filtering including the Kalman filter, Hidden Markov Model filter and sequential Markov chain Monte-Carlo methods such as the particle filter. Part 3 covers maximum likelihood estimation and numerical methods such as the Expectation Maximization algorithm. Part 4 covers stochastic gradient algorithms  and stochastic optimization. The course focuses on the deep fundamental ideas that underpin signal processing, data science and machine learning. The discussion sections will focus on more advanced aspects in statistical inference.",,Spring.,ECE 5412,,
206,ECE,5545,Machine Learning Hardware and Systems,Mohamed Abdelfattah,09:40AM,10:55AM,Bloomberg Center 81,"This Master's level course will take a hardware-centric view of machine learning systems. From constrained embedded microcontrollers to large distributed multi-GPU systems, we will investigate how these platforms run machine learning algorithms. We will look at different levels of the hardware/software/algorithm stack to make modern machine learning systems possible. This includes understanding different hardware acceleration paradigms, common hardware optimizations such as low-precision arithmetic and sparsity, compilation methodologies, model compression methods such as pruning and distillation, and multi-device federated and distributed training. Through hands-on assignments and an open-ended project, students will develop a holistic view of what it takes to train and deploy a deep neural network.","Prerequisite: Undergraduate ECE/CS degree, programming experience, introductory ML course.",Spring.,ECE 5545,,
207,ECE,5550,Power Systems and Market Operations,Lang Tong,02:45PM,04:00PM,Hollister Hall 368,"Examines the operations of electric power systems, the smart grid, and electricity markets. Topics include modeling of power systems, power flow analysis, economic dispatch, optimal power flow, unit commitments, electricity markets, demand response, smart grid technology, and transactive energy.","Prerequisite: ECE 2100, ECE 3100, ECE 4510 or equivalent.",Spring.,ECE 5550,,
208,ECE,5555,Stochastic Systems: Estimation and Control,Eilyan Bitar,02:45PM,04:00PM,Online Meeting,"The problem of sequential decision making in the face of uncertainty is ubiquitous. Examples include: dynamic portfolio trading, operation of power grids with variable renewable generation, air traffic control, livestock and fishery management, supply chain optimization, internet ad display, data center scheduling, and many more.
In this course, we will explore the problem of optimal sequential decision making under uncertainty over multiple stages - stochastic optimal control. We will discuss different approaches to modeling, estimation, and control of discrete time stochastic dynamical systems (with both finite and infinite state spaces) over finite horizons. Solution techniques based on dynamic programming will play a central role in our analysis. Topics include: Fully and Partially Observed Markov Decision Processes, Linear Quadratic Gaussian control, Bayesian Filtering, and Approximate Dynamic Programming. Applications to various domains will be discussed throughout the semester.",Prerequisite: ECE 3100.,Spring.,ECE 5555,,
209,ECE,5670,Digital Communications,Peter Doerschuk,01:00PM,02:15PM,Thurston Hall 203,"Principles of modeling communication baseband and passband channels. Methods for communicating in the presence of intersymbol interference, noise, channel uncertainty, and asynchrony. Design, in software, of a transmitters and receivers to communicate over audio-band and RF channels.","Prerequisite: ECE 3250, ECE 4110.",Spring.,ECE 5670,,
210,ECE,5710,Datacenter Computing,Christina Delimitrou,02:45PM,04:00PM,Phillips Hall 403,"The course provides a strong foundation for students to understand the entire system stack in cloud computing systems today, from hardware to OS, resource management, and application frameworks, as well as considerations such as reliability, privacy, and security. The course consists of a mix of lectures and discussions of the latest papers in datacenter design and management. Topics include, but are not limited to: server design, hardware accelerators, cloud OS, cluster management, distributed programming frameworks, microservices, serverless computing, and cloud security and privacy. ","Prerequisite: ECE 4750 or CS 4410 or equivalent courses, or instructor permission. ",Spring.,ECE 5710,,
211,ECE,5720,Introduction to Parallel Computing,Adam Bojanczyk,02:45PM,04:00PM,Statler Hall 445,"Course covers introduction to parallel computing in disciplines where parallel computing is required either to solve problems in real time, perform large scale simulations, or analyze big data sets. The course will present essential approaches to parallel solutions for shared memory, distributed memory, and hybrid environments. Students will be expected to design, implement and evaluate application programs using OpenMP, MPI and NVIDIA CUDA systems.","Prerequisite: ECE 2400, ECE 2300, MATH 2940 or equivalents.",Offered on demand.,ECE 5720,,
212,ECE,5725,Design with Embedded Operating Systems,Joseph Skovira,01:30PM,02:20PM,Upson Hall 142,"Design of microcontroller based systems using embedded Linux. Student teams design and debug example solutions on a target microcontroller (for example, Raspberry Pi) during lab sessions. Emphasis will be on application and Linux programming skills, processor and microcontroller architecture with some discussion of hardware interfaces. Students create a final, end-ofsemester project using the microcontroller platform and development techniques discussed during the semester.",Prerequisite: ECE 3140/CS 3420. Strongly recommended: ECE 3400. Strongly recommended for MAE students: MAE 3780/MAE 3783.,"Fall, Spring.",ECE 5725,,
213,ECE,5745,Complex Digital ASIC Design,Christopher Batten,01:00PM,02:15PM,Upson Hall 222,"Principles and practices involved in the design, implementation, testing, and evaluation of complex standard-cell ASIC chips using automated state-of-the-art CAD tools. Topics include hardware description languages; CMOS logic, state, and interconnect fundamentals; chip design methodologies; automated cell-based design; CAD algorithms; details of accurately modeling ASIC delay, energy, and area; robustness issues; testing, verification, and debugging; power distribution and clocking; packaging and I/O. Includes a six-week open ended project where small groups of students design, implement, test, and evaluate an interesting technique in computer architecture using functional-, microarchitectural-, registertransfer-, and layout-level modeling.",Prerequisite: ECE 4750.,Spring.,ECE 5745,,
214,ECE,5760,Advanced Microcontroller Design,Van Adams,12:25PM,01:15PM,Upson Hall 222,"Design of system-on-chip applications. Students working in pairs design, debug, and construct several systems that illustrate the design of embedded processors with custom peripherals running a real-time operating system. The content focuses on laboratory work. The lectures are used primarily for the introduction of examples, description of specific modules to be designed, and instruction in the hardware and high-level design tools to be employed.",Recommended prerequisite: ECE 5725.,Spring.,ECE 5760,,
215,ECE,5772,Autonomous Mobile Robots,Hadas Kress-Gazit,09:40AM,10:55AM,Hollister Hall 110,"Creating robots capable of performing complex tasks autonomously requires one to address a variety of different challenges such as sensing, perception, control, planning, mechanical design, and interaction with humans. In recent years many advances have been made toward creating such systems, both in the research community (different robot challenges and competitions) and in industry (industrial, military, and domestic robots). This course gives an overview of the challenges and techniques used for creating autonomous mobile robots. Topics include sensing, localization, mapping, path planning, motion planning, obstacle and collision avoidance, and multi-robot control.",,Spring.,ECE 5772,,
216,ECE,5780,Computer Analysis of Biomed Images,Anthony Reeves,09:40AM,10:55AM,Phillips Hall 307,"Powerful imaging modalities with attending computer image processing methods are evolving for the evaluation of health and the detection of disease. This course focuses on the quantitative analysis of such images and Computer Aided Diagnosis (CAD), i.e., the automatic identification and classification of abnormalities by the computer.",Prerequisite: ECE 5470 or equivalent.,Spring.,ECE 5780,,
217,ECE,5790,Advanced High-Speed and RF Integrated Circuits,Alyosha Molnar,11:25AM,12:40PM,Phillips Hall 403,"Principles of analog integrated circuit design in the Giga-Hertz frequency range. This course covers the fundamental understanding of high-frequency circuit building blocks such as low noise amplifiers, mixers, oscillators, phase locked loops, frequency synthesizers, clock and data recoveries, and power amplifiers. Additionally, because some of the traditional microwave building blocks such as transmission lines and distributed circuit elements are essential parts of today's high speed integrated circuits, the course briefly covers them. Throughout the course, a systematic review of advanced wireless and wireline applications is covered. The course emphasizes physical understanding and intuitive design methods as well as qualitative techniques and computer simulations. The course has collaborative class projects, based on real-world problems.",Prerequisite: ECE 4530.,Spring.,ECE 5790,,
218,ECE,5840,Introduction to Controlled Fusion: Principles and Technology,David Hammer,11:20AM,12:10PM,Phillips Hall 407,"Introduction to the physical principles and various engineering aspects underlying power generation by controlled fusion. Topics include: fuels and conditions required for fusion power and basic fusion-reactor concepts, fundamental aspects of plasma physics relevant to fusion plasmas and basic engineering problems for a fusion reactor, and an engineering analysis of proposed magnetic and/or inertial confinement fusion-reactor designs.","Prerequisite: one of the following: PHYS 1112, PHYS 2213, PHYS 2214, or equivalent background in electricity and magnetism and mechanics.",Spring.,ECE 5840,,
219,ECE,5880,Energy Seminar II,C. Anderson,12:25PM,01:15PM,Kimball Hall B11,"Energy resources, their conversion to electricity or mechanical work, and the environmental consequences of the energy cycle are discussed by faculty members from several departments in the university and by outside experts. Topics include energy resources and economics; coal-based electricity generation; nuclear reactors; solar power; energy conservation by users; and air pollution control.",,Spring.,ECE 5880,,
220,ECE,5960,Advanced Topics in Electrical and Computer Engineering,Kirstin Petersen,11:25AM,12:40PM,Phillips Hall 203,"Seminar, special interest, or temporary course.",,Fall or Spring.,ECE 5960,,
221,ECE,5997,Independent Study,Alyosha Molnar,,,,Independent study supervised by a faculty member in Electrical and Computer Engineering. A final report or exam is required. Students must make individual arrangements with a faculty sponsor.,,"Fall, Spring.",ECE 5997,,
222,ECE,5998,Directed Research,Alyosha Molnar,,,,Research directed by a faculty member in Electrical and Computer Engineering. A final report or exam is required. Students must make individual arrangements with a faculty sponsor.,,"Fall, Spring.",ECE 5998,,
223,ECE,5999,MEng Technical Internship,Peter Jessel,,,,"This course offers M.Eng. students the opportunity to receive credit for ECE relevant work occurring as part of a summer (or semester) internship. Normally taken in the semester following the internship, students in the course will be required to write a detailed report describing the ECE related technical work performed during internship.",,"Fall, Spring.",ECE 5999,,
224,ECE,6780,Multivariable Control Theory,Silvia Ferrari,01:00PM,02:15PM,Online Meeting,"Introduction to multivariable feedback control theory in both time and frequency domain. Topics include model-based control, performance limitations, Linear Quadratic and H-infinity optimal control, control synthesis vis convex optimization, and model predictive control. Additional topics at the discretion of the instructor.","Prerequisite: MAE 4780 or MAE 5780, ECE 5210, or permission of instructor; strong background in classical control, linear algebra, and state space models.",Spring.,ECE 6780,,
225,ECE,6931,Master of Engineering Design Project II,Jayadev Acharya,,,,"Two-semester Design Project: must enroll in both semesters; students will receive a letter grade for each individual semester. For students enrolled in M.Eng. (Electrical and Computer Engineering) degree program. Uses real engineering situations to present fundamentals of engineering design. Each professor is assigned a section for the fall and spring. Students who do not complete the Design Project in the spring receive a grade only for the work completed up to the point of the required submission date, which is the last day of Finals Week. Students must then enroll for the summer with the ECE M.Eng. director to complete the work remaining for the design project.",,Spring.,ECE 6931,,
226,ECE,6960,Special Topics in Electrical and Computer Engineering,A. Kevin Tang,11:25AM,12:40PM,Snee Hall Geological Sci 2152,"Seminar, special interest, or temporary course.",,Offered on demand.,ECE 6960,,
227,ECE,7920,Thesis Research,Jayadev Acharya,,,To Be Assigned,"For students enrolled in master's or doctoral program. Each professor is assigned a section number. To register, see roster for appropriate six-digit course ID numbers.",,Spring.,ECE 7920,,
228,ECON,1001,Principles of Micro-Economics Supplement,Albert Alexander,07:30PM,09:25PM,Rockefeller Hall 127,"Reviews lecture material presented in ECON 1110 lectures; provides problem-solving techniques, study tips, and additional problems to prepare for exams and problem sets; provides additional time for questions and discussion of concepts. Provides additional instruction for students who need reinforcement.",,"Fall, Spring, Summer.",ECON 1001,,
229,ECON,1002,Principles of Macro-Economics Supplement,Albert Alexander,07:30PM,09:25PM,Rockefeller Hall 127,"Reviews lecture material presented in ECON 1120 lectures; provides problem-solving techniques, study tips, and additional problems to prepare for exams and problem sets; provides additional time for questions and discussion of concepts. Provides additional instruction for students who need reinforcement.",,"Fall, Spring, Summer.",ECON 1002,,
230,ECON,1110,Introductory Microeconomics,Jennifer Wissink,09:05AM,09:55AM,Statler Hall 185-Aud,"Explanation and evaluation of how the price system operates in determining what goods are produced, how goods are produced, who receives income, and how the price system is modified and influenced by private organizations and government policy.",,"Fall, Winter, Spring, Summer.",ECON 1110,B+,FA21
231,ECON,1110,Introductory Microeconomics,Jennifer Wissink,09:05AM,09:55AM,Statler Hall 185-Aud,"Explanation and evaluation of how the price system operates in determining what goods are produced, how goods are produced, who receives income, and how the price system is modified and influenced by private organizations and government policy.",,"Fall, Winter, Spring, Summer.",ECON 1110,B+,
232,ECON,1110,Introductory Microeconomics,Jennifer Wissink,09:05AM,09:55AM,Statler Hall 185-Aud,"Explanation and evaluation of how the price system operates in determining what goods are produced, how goods are produced, who receives income, and how the price system is modified and influenced by private organizations and government policy.",,"Fall, Winter, Spring, Summer.",ECON 1110,B+,FA19
233,ECON,1120,Introductory Macroeconomics,Terence Alexander,10:10AM,11:00AM,Uris Hall G01,"Analysis of aggregate economic activity in relation to the level, stability, and growth of national income. Topics may include the determination and effects of unemployment, inflation, balance of payments, deficits, and economic development, and how these may be influenced by monetary, fiscal, and other policies.",,"Fall, Winter, Spring, Summer.",ECON 1120,B+,FA21
234,ECON,1120,Introductory Macroeconomics,Terence Alexander,10:10AM,11:00AM,Uris Hall G01,"Analysis of aggregate economic activity in relation to the level, stability, and growth of national income. Topics may include the determination and effects of unemployment, inflation, balance of payments, deficits, and economic development, and how these may be influenced by monetary, fiscal, and other policies.",,"Fall, Winter, Spring, Summer.",ECON 1120,B+,FA20
235,ECON,2300,International Trade and Finance,Arnab Basu,07:30PM,10:00PM,Warren Hall B25,"One-semester introduction to international economic principles and issues. Begins by surveying key topics such as the elements of comparative advantage, tariff and nontariff barriers, and multilateral institutions. The second part of the course treats selected topics in international finance, including exchange rates, balance of payments, and capital markets. Discusses current issues such as the effects of trade liberalization, trade and economic growth, and instability in international capital markets. Designed as a less technical introduction to concepts developed at a more advanced level in AEM 4300 and ECON 4510-ECON 4520.",Prerequisite: ECON 1110. Recommended Prerequisite: ECON 1120.,Spring.,ECON 2300,,
236,ECON,3030,Intermediate Microeconomic Theory,Douglas McKee,09:40AM,10:55AM,Goldwin Smith Hall G76-Lewis,"The pricing processes in a private enterprise economy are analyzed under varying competitive conditions, and their role in the allocation of resources and the functional distribution of national income is considered.","Prerequisite: ECON 1110, ECON 1120 and calculus.","Fall, Spring, Summer.",ECON 3030,A-,FA20
237,ECON,3030,Intermediate Microeconomic Theory,Douglas McKee,09:40AM,10:55AM,Goldwin Smith Hall G76-Lewis,"The pricing processes in a private enterprise economy are analyzed under varying competitive conditions, and their role in the allocation of resources and the functional distribution of national income is considered.","Prerequisite: ECON 1110, ECON 1120 and calculus.","Fall, Spring, Summer.",ECON 3030,B+,SP21
238,ECON,3040,Intermediate Macroeconomic Theory,Mathieu Taschereau-Dumouchel,02:45PM,04:00PM,Goldwin Smith Hall G76-Lewis,"Introduces the theory of national income and determination and economic growth in alternative models of the national economy. Examines the interaction and relation of these models to empirical aggregate economic data. Reviews national accounts, output and employment determination, price stability and economic growth, in the context of alternative government policy programs and the impact of globalization.","Prerequisite: ECON 1110, ECON 1120 and calculus.","Fall, Spring, Summer.",ECON 3040,B+,FA21
239,ECON,3110,Probability Models and Inference for the Social Sciences,Kevin Packard,11:25AM,12:40PM,Ives Hall 105,"This course provides an introduction to probability and parametric inference. Topics include: random variables, standard distributions, the law of large numbers, the central limit theorem, likelihood-based estimation, sampling distributions and hypothesis testing.",Prerequisite: MATH 1110 or equivalent.,"Fall, Spring.",ECON 3110,A,FA21
240,ECON,3120,Applied Econometrics,Douglas McKee,01:00PM,02:15PM,Goldwin Smith Hall 132-HEC Aud,"Introduction to the theory and application of econometric techniques. Emphasis is on both development of techniques and applications of econometrics to economic questions. Topics include estimation and inference in bivariate and multiple regression models, instrumental variables, regression with qualitative information, heteroskedasticity, and serial correlation. Students are expected to apply techniques through regular empirical exercises with economic data.",Prerequisite: ECON 3110 or ECON 3130.,"Fall, Spring, Summer.",ECON 3120,A-,SP21
241,ECON,3140,Econometrics,Joerg Stoye,01:00PM,02:15PM,Rockefeller Hall 230,"Introduction to the theory and application of econometric techniques. Emphasis is on foundations and development of econometric models, focusing on how a theoretical economic model can be placed into a statistical framework where data is used for the purposes of prediction/forecasting, measurement, and/or testing of economic theory. Topics include estimation and inference in bivariate and multiple regression models, instrumental variables, regression with qualitative information, heteroskedasticity, serial correlation.",Prerequisite: ECON 3130.,Spring.,ECON 3140,,
242,ECON,3300,Development of Economic Thought and Institutions,George Boyer,11:25AM,12:40PM,Ives Hall 115,"Examines the causes and consequences of sustained economic growth, and the development of economics as a discipline, from pre-industrial mercantilist thought through the economics of John Maynard Keynes. Stresses the relationship between the consequences of 19th-century economic growth and the evolution of economic thought.","Prerequisite: ECON 1110 and ECON 1120, or equivalents.",Fall or Spring.,ECON 3300,,
243,ECON,3430,"Compensation, Incentives, and Productivity",Stephanie Thomas,09:40AM,10:55AM,Ives Hall 219,"Examines topics in labor economics of particular relevance to individual managers and firms. Representative topics include recruitment, screening, and hiring strategies; compensation (including retirement pensions and other benefits); training, turnover, and the theory of human capital; incentive schemes and promotions; layoffs, downsizing, and buyouts; teamwork; and internal labor markets. Focuses on labor-related business problems using the analytic tools of economic theory and should appeal to students with strong quantitative skills who are contemplating careers in general business, consulting, and human resource management as well as in economics.",Prerequisite: ILRLE 2400 or equivalent.,Fall or Spring.,ECON 3430,,
244,ECON,3550,Economics of Developing Countries,Brian Dillon,09:40AM,10:55AM,Warren Hall 151,"The goal of this course is to expand students' understanding of the economics of developing countries. We will address questions like: why do some countries grow quickly and others slowly? What factors prevent countries, households, and individuals from escaping the cycle of poverty? How do policymakers balance economic growth and environmental sustainability? Why don't financial markets work well in most developing countries, and do informal institutions fill the gap? How do we analyze the challenges facing small-scale farming households, and how do decisions by those households influence migration, labor markets, and the growth of industry? How do we evaluate policies and programs in order to understand what works for development? The approach in this course will be primarily microeconomic, although a basic understanding of macroeconomics is important for some topics. Emphasis will be on theory, real-world examples, and reading and interpreting research and policy papers.","Prerequisite: ECON 1110, ECON 1120, ECON 3030, ECON 3110 or ECON 3130 and ECON 3120 or ECON 3140; or equivalents.",Spring.,ECON 3550,,
245,ECON,3670,Behavioral Economics and Public Policy,Brandon Tripp,01:00PM,02:15PM,Malott Hall 228-Bache Aud,"Standard economic theory assumes that individuals are rational decision-makers; however, that is often not the case in the real world. Behavioral economics uses findings from psychology to determine ways in which individuals are systematically irrational to improve upon existing models. The first part of this course reviews these theories, while the second part of the course focuses on how these findings have been used to design better education, health, and tax policies as well as many others.","Prerequisite: PAM 3100 or a course in basic econometrics, and PAM 2000 or ECON 3030. Some courses in other departments may be substituted, but they need to be cleared first by instructor.",Spring.,ECON 3670,,
246,ECON,3710,The Economics of Risky Health Behaviors,John Cawley,06:30PM,09:50PM,To Be Assigned,"Risky health behaviors such as cigarette smoking, alcohol abuse, risky sex, drug use, poor diet and physical inactivity (leading to obesity), and self-harm are responsible for hundreds of thousands of preventable deaths and impose billions of dollars in medical care costs each year in the United States. This course teaches the economic approach to studying risky health behaviors. The research literature on the economic causes and correlates of risky health behaviors will be studied in detail. Numerous policies to modify risky health behaviors, such as the minimum legal drinking age and recreational marijuana use laws, will be debated in class. A policy wargame is conducted, with students creating advertisements, giving oral presentations, and lobbying policymakers to advocate a specific policy position.
 ","Prerequisite: PAM 2000 or ECON 3030 and PAM 3100, ECON 3120 or ECON 3140.",Spring.,ECON 3710,,
247,ECON,3800,Economics and the Law,George Hay,02:45PM,04:00PM,Myron Taylor Hall 390,"Examines, through the lens of economic analysis, legal principles drawn from various branches of law, including contracts, torts, and property. ",Prerequisite: ECON 1110.,Fall or Spring.,ECON 3800,A-,FA19
248,ECON,3825,Networks II: Market Design,Cristobal Cheyre Forestier,09:40AM,10:55AM,Hollister Hall B14,"Networks II builds on its prerequisite course and continues to examine how each of the computing, economic, sociological and natural worlds are connected and how the structure of these connections affects these worlds. In this course, we will construct mathematical models for and analyze networked settings, allowing us to both make predictions about behavior in such systems, as well as reason about how to design such systems to exhibit some desirable behavior. Throughout, we will draw on real-world examples such as social networks, peer-to-peer filesharing, Internet markets, and crowdsourcing, that illustrate these phenomena.","Prerequisite: INFO 2040, CS 2800 or equivalent.",Spring.,ECON 3825,,
249,ECON,3855,Urban Economics,Nancy Brooks,11:25AM,12:40PM,Sibley Hall 101,"This course introduces the concepts and methods used by economists to study not only cities, regions and their relationships with each other, but, more generally, the spatial aspects and outcomes of decision-making by households and firms. Areas examined include determinants of urban growth and decline, land and housing markets, transportation issues, segregation and poverty, and the allocation and distribution of urban public services. ",Prerequisite: microeconomics course.,Spring.,ECON 3855,,
250,ECON,3865,Environmental Economics,Ivan Rudik,01:00PM,02:15PM,Warren Hall 175,"This class will focus on the role of the environment in the theory and practice of economics. It will make use of microeconomic analysis at the intermediate level and will incorporate real-world examples. It examines market failure, externalities, benefit-cost analysis, nonmarket valuation techniques, and cost-effective policy instruments.","Prerequisite: MATH 1110, ECON 3030.",Spring.,ECON 3865,,
251,ECON,3875,"Policy Analysis: Welfare Theory, Agriculture, and Trade",Harry de Gorter,09:40AM,10:55AM,Warren Hall 173,"The first half of the course surveys the theory of welfare economics as a foundation for public policy analysis. Major issues addressed include the problem of social welfare measurement, the choice of welfare criteria, and the choice of market or nonmarket allocation. Basic concepts covered include measurement of welfare change, including the compensation principle, consumer and producer surplus, willingness-to-pay measures, externalities, and the general theory of second-best optima. The second half focuses on public policy analysis as applied to domestic agricultural policy and international trade. The domestic policy component examines major U.S. farm commodity programs and related food and macroeconomic policies and analyzes their effects on producers, consumers, and other groups. The international trade component examines the structure of world agricultural trade, analytical concepts of trade policy analysis, and the principal trade policies employed by countries in international markets.","Prerequisite: AEM 6080, and ECON 3030, or equivalent intermediate microeconomic theory course incorporating calculus.",Spring.,ECON 3875,,
252,ECON,4020,Game Theory I,Tommaso Denti,02:45PM,04:00PM,Goldwin Smith Hall G64-Kau Aud,Studies mathematical models of conflict and cooperation in situations of uncertainty (about nature and about decision makers).,"Prerequisite: ECON 3030 and ECON 3130, or equivalents.",Spring.,ECON 4020,,
253,ECON,4022,Game Theory II,Lawrence Blume,01:00PM,02:15PM,Uris Hall 498,"This course is meant to be a second game theory course for those students, who have had exposure to game theory. The class will be organized topically, and some topic choice will depend upon student interest. About half the term will be devoted to evolutionary game theory --- static theory, deterministic dynamics, and stochastic dynamics. Other core topics include potential games and strategic complementarities. Additional topics may be selected from among cooperative game theory, refinements of Nash equilibrium, and estimation in games.","Prerequisite: INFO 2040, ECON 2040, SOC 2090, ECON 3030, ECON 3130, ECON 4020, ORIE 4350, ECON 6110, or equivalents.",Fall or Spring.,ECON 4022,,
254,ECON,4110,Cross Section and Panel Econometrics,Francesca Molinari,01:00PM,02:15PM,Uris Hall 262,"Introduction to cross-section and panel econometrics. Topics include multiple-regression analysis with qualitative information, simple and advanced panel data methods, instrumental variables estimation, simultaneous equation models.","Prerequisite: ECON 3140, or equivalent.",Spring.,ECON 4110,,
255,ECON,4210,Money and Credit,Kristoffer Nimark,09:40AM,10:55AM,Goldwin Smith Hall G64-Kau Aud,A systematic treatment of the determinants of the money supply and the volume of credit. Economic analysis of credit markets and financial institutions in the United States.,"Prerequisite: ECON 1110, ECON 1120 and ECON 3040, or equivalents.",Spring.,ECON 4210,,
256,ECON,4290,Economic Analysis of Politics,Stephen Coate,02:45PM,04:00PM,Rockefeller Hall 230,This is an advanced course intended for upper level economics undergraduates who enjoy learning about and analyzing economic models. The course provides an introduction to the economic analysis of politics. Part I discusses collective choice and introduces some core ideas from social choice theory. Part II provides an overview of economic theories of political behavior. Part III discusses how political decisions are distorted away from those that would be made by the benevolent governments from public economics textbooks. Part IV offers economic perspectives on a number of contemporary issues in American politics.,"Prerequisite: ECON 3030, ECON 3040, and ECON 3110  or ECON 3130.",Fall or Spring.,ECON 4290,,
257,ECON,4997,Cross-Cultural Work Experiences,Terence Murphy,,,To Be Assigned,,,,ECON 4997,,
258,ECON,4998,Cross-Cultural Work Experiences,Terrence Murphy,,,To Be Assigned,,,,ECON 4998,,
259,ECON,4999,Independent Study in Economics,Nicholas Sanders,,,,Independent study.,,"Fall, Spring.",ECON 4999,,
260,ECON,6100,Microeconomic Theory II,Lawrence Blume,02:45PM,04:00PM,Uris Hall 262,"Topics in consumer and producer theory, equilibrium models and their application, externalities and public goods, intertemporal choice, simple dynamic models and resource depletion, choice under uncertainty.","Prerequisite: ECON 6090 and ECON 6170 with a grade of B- or better, or permission of instructor.",Spring.,ECON 6100,,
261,ECON,6110,Microeconomic Theory III,Tommaso Denti,01:00PM,02:15PM,Ives Hall 112,Topics in Non-Cooperative Game Theory.,"Prerequisite: ECON 6090 and ECON 6170 with a grade of B- or better, or permission of instructor.",Spring.,ECON 6110,,
262,ECON,6115,Applied Microeconomics II: Game Theory,Michael Waldman,08:40AM,09:55AM,Sage Graduate Hall B09,"This course teaches the fundamentals of non-cooperative game theory and classic applications used in applied work in economics and related fields such as finance, marketing, operations, and accounting. The course begins with a brief primer on non-cooperative game theory that covers pure versus mixed strategies, Nash equilibrium, and various equilibrium refinements. Coverage then turns to basic frameworks that utilize game theory to model a wide range of settings in economics and related fields. These include agency analysis, classic asymmetric information models such as adverse selection and signaling, time inconsistency, and repeated games and reputation.",,Spring.,ECON 6115,,
263,ECON,6140,Macroeconomics II,Christopher Huckfeldt,02:45PM,04:00PM,Uris Hall 262,Covers the following topics: dynamic programming; stochastic growth; search models; cash-in-advance models; real business-cycle models; labor indivisibilities and lotteries; heterogeneous agents models; optimal fiscal and monetary policy; sustainable plans; and endogenous growth.,"Prerequisite: ECON 6130 and ECON 6170 with a grade of B- or better, or permission of instructor.",Spring.,ECON 6140,,
264,ECON,6200,Econometrics II,Joerg Stoye,09:40AM,10:55AM,Uris Hall 262,"A continuation of ECON 6190 covering statistics: estimation theory, least squares methods, method of maximum likelihood, generalized method of moments, theory of hypothesis testing, asymptotic test theory, and nonnested hypothesis testing; and econometrics: the general linear model, generalized least squares, specification tests, instrumental variables, dynamic regression models, linear simultaneous equation models, nonlinear models, and applications.","Prerequisite: ECON 6190 and ECON 6170 with a grade of B- or better, or permission of instructor.",Spring.,ECON 6200,,
265,ECON,6420,Health Economics II,Nicolas Ziebarth,02:45PM,04:00PM,Online Meeting,"This course belongs to the health economics sequence. In addition to health economics, some topics cover public and labor economics. Students will also learn how to develop research sketches. First, we talk about U.S. health insurance and its intersection with the labor market. Then, we talk about health care providers, their reimbursement and behavior. Next, we study social insurance systems for health risks, such as disability or sick leave insurance. Finally, we cover specific topics like health measurement, the value of a statistical life or cost-benefit analysis. The lectures will not cover health behaviors (PAM 6410), human capital and early childhood effects, the environment-health literature, and effects of income, education, and unemployment on health (behaviors).",Prerequisite: Ph.D. level courses in microeconomic theory and econometrics.,Spring.,ECON 6420,,
