,Dept,Number,Course_Name,Professor,Start_Time,End_Time,Location,Description,Pre/coreqs,Offered,Dept + Number,Class_Name,professor,median,semester,size,notes,SemesterN
665,ASTRO,6560,Theory of Stellar Structure and Evolution,Ira Wasserman,11:20AM,12:10PM,To Be Assigned,"Intended to provide a systematic development of stellar astrophysics, both theory and observations. Topics include: hydrostatic equilibrium, equation of state, radiation transfer and atmospheres, convection and stellar turbulence, nuclear burning and nucleosynthesis, solar neutrinos, star formation, pre-main sequence stars, brown dwarfs, end states of stellar evolution (white dwarfs, neutron stars, and black holes), supernovae, interacting binary stars, stellar rotation and magnetic fields, stellar pulsations, winds and outflows.",Prerequisite: physics at the advanced undergraduate-level.,Spring.,ASTRO 6560,,,,,,,
666,ASTRO,6940,Advanced Study and Research,Rachel Bean,,,,Guided reading and seminars on topics not currently covered in regular courses.,,Fall or Spring.,ASTRO 6940,,,,,,,
667,ASTRO,7683,Seminar: Astronomy and Planetary Science,Anna Ho,,,To Be Assigned,"This course is a reading seminar where graduate students will gain astronomy breadth, practice public speaking, and distill important results from seminal astronomy research papers.",,"Fall, Spring.",ASTRO 7683,,,,,,,
668,BANA,5250,Machine Learning for Investment,Will Cong,,,,"This is a 1.5 credit elective course in the MS in Business Analytics degree program. The goal of the course is to give a systematic and rigorous introduction to the emerging areas of financial technology, digital economy, and applications of big data, machine learning, and AI with application sin finance. ",,Spring.,BANA 5250,,,,,,,
669,BANA,5680,Management Presentations with Data,Angela Noble-Grange,,,,Students will consider and implement techniques for effective speaking by analyzing and defining the purpose of a message and evaluating the intended audience and its needs. Students will practice methods and techniques that generate effective content in presentations while embracing personal strengths and challenges in non-verbal messaging to inspire and motivate listeners.,,Spring.,BANA 5680,,,,,,,
670,BANA,6020,Managerial Reporting for Business Analytics,Robert Bloomfield,,,,This course will teach students how to improve business performance through better accounting. Students will practice the tools to develop key performance indicators (KPIs) and reporting systems to improve the performance of managers and units all across 21st century organizations that are increasingly governed by algorithms. ,,Spring.,BANA 6020,,,,,,,
671,BANA,6340,Customer Analytics,Young-Hoon Park,,,,"The term ""Customer Centric"" is synonymous with proactive business strategy worldwide. Primarily due to advances in technology, we are experiencing a fundamental shift in business, i.e., the shift from focusing on the product towards focusing on the individual customer as the most critical unit of analysis, in both the Business-to-Business (B2B) and Business-to-Consumer (B2C) sectors. This course aims students to understand the analytical tools for different aspects of customer centricity: as part of a knowledge management system (understanding the customer), as part of the development of strategic competence as a learning organization (building a customer-centric culture), and as a foundation for corporate strategy development and execution (serving the customer).",,Summer.,BANA 6340,,,,,,,
672,BANA,6390,Analytics for Demand Management,Sachin Gupta,,,,"Students will gain insight into how consumers make decisions through choice-based conjoint analysis; learning to extrapolate, interpret and then optimize data. A further look into digital advertising analytics will require students to explore marketing mix models and how to determine optimal pricing from conceptual and mathematical standpoints.",,Spring.,BANA 6390,,,,,,,
673,BANA,6920,Machine Learning Applications in Business,Clarence Lee,,,,"Businesses are increasingly turning to machine learning and data analytics to inform their decisions and solve complex problems given the recent rise of big data. Machine learning is enabling businesses on issues ranging from business strategy, to their day to day operations, powered by the ever-increasing data types such as social media, web and search traffic, and online reviews. The purpose of this course is to provide students with an introduction to the machine learning methods and explore how to derive meaningful actionable insights from data. The types of methods students will practice in this course include regression (including logistic regression), classification, and clustering.",,Spring.,BANA 6920,,,,,,,
674,BCS,1132,Elementary Bosnian-Croatian-Serbian II,,10:10AM,11:25AM,To Be Assigned,"By the end of this course, students will be able to carry on basic conversations in Bosnian/Croatian/Serbian on many topics from daily life. They should be able to make polite requests, ask for information, respond to requests and descriptions, impart personal information, and have simple discussions on familiar topics. They will also acquire the skills to read and understand simple informational texts, such as newspaper headlines and menus, announcements and advertisements, and to extract the general idea of longer informational texts. They will master the writing systems of the languages, and should be able to write notes or simple letters and keep a journal.",Prerequisite: BCS 1131 or equivalent.,Spring.,BCS 1132,,,,,,,
675,BCS,2134,Intermediate Bosnian-Croatian-Serbian II,,11:40AM,12:55PM,To Be Assigned,"The intermediate course in BCS is a continuation of the elementary course and is intended to enhance overall communicative competence in the language. This course moves forward from the study of the fundamental systems and vocabulary of the Bosnian/Croatian/Serbian to rich exposure to the spoken and written language with the wide range of speakers and situations. The goal of the course is to give students practice in comprehension, speaking, and composition, while broadening their vocabulary and deepening their understanding of grammar and syntax. The course will focus on the following skills: conversation, writing, role-playing, interviewing, and summarizing. To develop these skills the students will be assigned dialogues, language exercises, translations, descriptions, summaries, and a final independent project.",,Spring.,BCS 2134,,,,,,,
676,BEE,2000,Perspectives on the Climate Change Challenge,Peter Hess,02:45PM,04:00PM,To Be Assigned,"This university-wide seminar series provides critically important perspectives on the grand challenge of climate change. Speakers from Cornell University and other institutions will cover a range of topics including the science of climate change, implications for ecosystems, oceans, forests, agriculture and communities, the important ethical, philosophical and legal insights on the issue, and provide thoughts on societal responses through international mechanisms, economic drivers and communication tools. This seminar series counts towards the requirements of the climate change minor and the ESS minor and major.",,Spring.,BEE 2000,BEE 2000,Hess,A,SP21,148,,1.0
677,BEE,3299,Sustainable Development,Brian Richards,,,Online Meeting,"Sustainable development is a dominant environmental, economic, and social concern of the 21st century. This course introduces the key concepts of sustainable development and how they are integrated into life cycle analysis (LCA) assessments of system sustainability. Students learn to evaluate sustainability by carrying out LCA assessments from environmental, economic, and social perspectives. Students develop these assessments throughout the semester for a system/product of their choice relevant to their majors and/or interests, and post their work on an e-portfolio to enable peer sharing and feedback. Course is solely asynchronous and web-based. Additional course information can be found at our Sustainable Development page.",,Spring.,BEE 3299,BEE 3299,Richards,A+,SP21,133,,1.0
678,BEE,3400,Design and Analysis of Biomaterials,,09:40AM,10:55AM,To Be Assigned,"Covers the analysis of different types of biomaterials, synthetic or bio-derived, their synthesis, characterization and applications. The fundamental understanding of biomaterials chemistry and physics at the molecular level is emphasized. Mathematical analysis towards rational design of biomaterials is used throughout the course. In addition, examples from forefront biomaterials research will be used for case studies.",Prerequisite: BEE 2220. Pre or corequisite: BEE 3500.,Spring.,BEE 3400,BEE 3400,Ma,A,SP21,34,,1.0
679,BEE,3600,Molecular and Cellular Bioengineering,Buz Barstow,02:45PM,04:00PM,To Be Assigned,"In this class you'll learn about mathematical models of biology that you can use to build engineered organisms. We will cover how to make back of the envelope calculations about biological systems, study the mathematics of metabolic networks for producing commodity chemicals and pharmaceuticals, learn how to approach building a new mathematical model of a biological system, and study mathematical models of gene regulation.","Prerequisite: BEE 2600, biochemistry, linear algebra and ordinary differential equations, or permission of instructor.  Knowledge of Matlab or Python really helps but is not essential.",Spring.,BEE 3600,BEE 3600,Barstow,A,SP21,38,,1.0
680,BEE,3710,Physical Hydrology for Ecosystems,Todd Walter,11:20AM,12:10PM,To Be Assigned,"Introduction to physical hydrology with an emphasis on roles and interactions between hydrological processes and ecological, biogeochemical, and human systems.",Prerequisite: MATH 1920 or permission of instructor.,Spring.,BEE 3710,,,,,,,
681,BEE,3801,Introduction to Nanobiotechnology,Dan Luo,,,,"This course is offered as part of the CALS Signature Semester: ""Toward a Sustainable Future and Emerging Technologies in China"" on site in Shanghai, China. Nanobiotechnology strides at the interface between nanotechnology and biotechnology. This introductory course teaches the ""nano"" concept related to nanotechnology and biotechnology. The course further covers nanoscale building blocks of life, in particular nucleic acids (including DNA, RNA, TNA, PNA, etc.). Students also learn the concepts of polymers, biosensing, hierarchy assemblies and self-assemblies in the context of sustainability. A variety of related techniques are examined along with demonstrations of real-world applications at different scales, from nano to eco.","Prerequisite: basic (freshman and sophomore-level) mathematics, physics, chemistry and biology.",Spring.,BEE 3801,,,,,,,
682,BEE,3910,Advanced Bio-Robotics,Sunghwan Jung,07:30PM,08:20PM,To Be Assigned,Students translate materials learned in BEE 3900 to explore bio-robotics for biological engineering applications such as fruit harvesting. Embedding robotics into biological systems (i.e. plants or animals) will be tested with soft bio-robotics. Students will translate the concept and basic principles of biorobotics into a practical robot in this course. Their designed robot will meet ASABE national robotic competition standards.,Prerequisite: BEE 3900 or equivalent.,Spring.,BEE 3910,,,,,,,
683,BEE,4500,Bioinstrumentation,Mingming Wu,02:45PM,04:00PM,To Be Assigned,"Bioinstrumentation applications are emphasized in this laboratory-based course. Electronic instruments from sensor to computer are considered. Static and dynamic characteristics of components and systems are examined theoretically and empirically. General analog and digital signal condition circuits are designed, constructed, and tested. A variety of biological applications of instrumentation are discussed.","Prerequisite: MATH 2940, introductory computing, two semesters of physics including electromagnetism, statistics, or permission of instructor.",Spring.,BEE 4500,,,,,,,
684,BEE,4530,Computer-Aided Engineering: Applications to Biological Processes,Ashim Datta,10:10AM,11:00AM,To Be Assigned,"Introduction to simulation-based design as an alternative to prototype-based design; modeling and optimization of complex real-life processes for design and research, using industry-standard physics-based computational software. Emphasis is on problem formulation, starting from a real process and developing its computer model. Modeling application (project) can be biomedical (thermal therapy and drug delivery) or broader biological and bioenvironmental applications that involve heat transfer, mass transfer, and fluid flow. Computational topics introduce the finite-element method, model validation, pre- and post-processing, and pitfalls of using computational software. Students choose their own semester-long project, which is a major part of the course (no final exam).","Prerequisite: BEE 3500, MAE 3240, CHEME 3240 or equivalent.",Spring.,BEE 4530,BEE 4530,Datta,A+,SP21,20,,1.0
685,BEE,4630,Digital Food Physics and Engineering,Ashim Datta,,,Online Meeting,"Mechanistic, model-based understanding and digital tools critically innovate in the design cycle for products and processes, food manufacturing is no exception. The course will introduce tools such as computational modeling, digital twins, and predictive knowledge bases, exploring deeper into the underlying universal physics-based frameworks describing transformations in food during processing. BEE 6630: The graduate version of the course will require the project to be substantially more challenging computationally or in physical detail. In addition, in several places throughout the syllabus, graduate version of the course will have more advanced content (there will be separate web modules for undergraduates and graduates).","Prerequisite: Fluid mechanics, heat transfer, and mass transfer, or permission of instructor. The graduate version of the course (BEE 6630) will require prior coursework in at least fluid mechanics and heat transfer.",Spring.,BEE 4630,,,,,,,
686,BEE,4710,Introduction to Groundwater,Patrick Fulton,11:20AM,02:20PM,To Be Assigned,"Fresh water has become a limited resource in many parts of the world. In arid and semi-arid regions, groundwater levels are declining at unstainable levels. In several industrial areas, groundwater is contaminated and unsuitable as potable water. Sustainability and pollution of groundwater will be addressed in this course by first understanding the theory of saturated and unsaturated flow and contaminant transport under ideal conditions. Subsequently, we learn to simplify groundwater systems in complex subsurface environments to obtain practical solutions. At the end of the course, the learned material will be put in a broader context as they are affected by natural or human actions. Throughout the course, guest speakers will discuss topics of current interest related to water. This elective course is intended for seniors and graduate students interested in subsurface water and solute transport applications to sustainable groundwater use and prevention of pollution. Well-prepared juniors are welcome too.","Prerequisite: hydrology, geology or fluid mechanics course.",Spring.,BEE 4710,,,,,,,
687,BEE,4880,Applied Modeling and Simulation for Renewable Energy Systems,Jacob Mays,09:40AM,10:55AM,To Be Assigned,"This course will provide an applied introduction to modeling, simulation and optimization techniques for various renewable energy systems. The course will be modular in nature. Each module will focus on a particular renewable energy application and relevant modeling/simulation tools. Some modules are independent and some will build on previous modules. The instructional format of the course will include lectures, scientific paper reviews, and some Julia programming. Students will have an opportunity to apply new techniques to a relevant modeling project. The course will culminate with a modeling project relevant to renewable energy. Undergraduates will work in teams of 2-3 students to complete the term project.",,Spring.,BEE 4880,,,,,,,
688,BEE,4940,Special Topics in Biological and Environmental Engineering,Chris Roh,11:25AM,12:40PM,To Be Assigned,The department teaches trial courses under this number. Offerings vary by semester and will be advertised by the department. Courses offered under this number will be approved by the department curriculum committee and the same course will not be offered twice under this number. Each 4940 has a unique course ID for enrollment.,,"Fall, Spring.",BEE 4940,,,,,,,
689,BEE,4970,Individual Study in Biological and Environmental Engineering,,,,,"Special work in any area of biological and environmental engineering on problems under investigation by the department or of special interest to the student, provided, in the latter case, that adequate facilities can be obtained.",Prerequisite: adequate ability and training for work proposed.,"Fall, Spring.",BEE 4970,,,,,,,
690,BEE,4980,Undergraduate Teaching,,,,,"The student assists in teaching a biological and environmental engineering course appropriate to his or her previous training. The student meets with a discussion or laboratory section, prepares course materials, grades assignments, and regularly discusses objectives and techniques with the faculty member in charge of the course.",,"Fall, Spring.",BEE 4980,,,,,,,
691,BEE,4990,Undergraduate Research,,,,,"Research in any area of biological or environmental engineering on problems under investigation by the department or of special interest to the student, provided that adequate facilities can be obtained. The student must review pertinent literature, prepare a project outline, carry out an approved plan, and submit a formal final report.",Prerequisite: adequate training for work proposed.,"Fall, Spring.",BEE 4990,,,,,,,
692,BEE,4993,Honors Thesis,,,,,"Intended for students pursuing the research honors program in BEE. This course is the culmination of the program's honors project requirement. Students enrolled in the BEE Honors program will prepare an honors thesis based on the subject matter of a BEE 4990 project from the previous semester, under the supervision of their BEE 4990 research mentor. A preliminary draft and the final copy will be submitted according to the deadline and formatting requirements of the Honors program.",Prerequisite: students must be enrolled in BEE 4990 in the previous term and are expected to complete this course during their final term before graduation.,"Fall, Spring.",BEE 4993,,,,,,,
693,BEE,5299,Sustainable Development,Brian Richards,,,Online Meeting,"Sustainable development is a dominant environmental, economic, and social concern of the 21st century. This course introduces the key concepts of sustainable development and how they are integrated into life cycle analysis (LCA) assessments of system sustainability. Students learn to evaluate sustainability by carrying out LCA assessments from environmental, economic, and social perspectives. Students develop these assessments throughout the semester for a system/product of their choice relevant to their majors and/or interests, and post their work on an e-portfolio to enable peer sharing and feedback. Course is solely asynchronous and web-based. Additional course information can be found at our Sustainable Development page.",,Spring.,BEE 5299,,,,,,,
694,BEE,5330,Engineering Professionalism,David Orr,07:30PM,08:45PM,To Be Assigned,"The primary focus is to prepare students for the Fundamentals of Engineering (FE) exam, which is the first step in obtaining a Professional Engineering license. Students complete a formal comprehensive review of engineering subjects associated with the FE exam. Engineering professionalism topics will be covered in some of the lectures or asynchronous videos.",,Spring.,BEE 5330,,,,,,,
695,BEE,5469,Energy Seminar II,C. Anderson,12:25PM,01:15PM,To Be Assigned,"Energy resources, their conversion to electricity or mechanical work, and the environmental consequences of the energy cycle are discussed by faculty members from several departments in the university and by outside experts. Topics include energy resources and economics; coal-based electricity generation; nuclear reactors; solar power; energy conservation by users; and air pollution control.",,Spring.,BEE 5469,,,,,,,
696,BEE,5530,Computer-Aided Engineering: Applications to Biological Processes,Ashim Datta,10:10AM,11:00AM,To Be Assigned,"Introduction to simulation-based design as an alternative to prototype-based design; modeling and optimization of complex real-life processes for design and research, using industry-standard physics-based computational software. Emphasis is on problem formulation, starting from a real process and developing its computer model. Modeling application (project) can be biomedical (thermal therapy and drug delivery) or broader biological and bioenvironmental applications that involve heat transfer, mass transfer, and fluid flow. Computational topics introduce the finite-element method, model validation, pre- and post-processing, and pitfalls of using computational software. Students choose their own semester-long project, which is a major part of the course (no final exam).","Prerequisite: BEE 3500, MAE 3240, CHEME 3240 or equivalent.",Spring.,BEE 5530,,,,,,,
697,BEE,5600,Molecular and Cellular Bioengineering,Buz Barstow,02:45PM,04:00PM,To Be Assigned,"In this class you'll learn about mathematical models of biology that you can use to build engineered organisms. We will cover how to make back of the envelope calculations about biological systems, study the mathematics of metabolic networks for producing commodity chemicals and pharmaceuticals, learn how to approach building a new mathematical model of a biological system, and study mathematical models of gene regulation.","Prerequisite: BEE 2600, biochemistry, linear algebra and ordinary differential equations, or permission of instructor.  Knowledge of Matlab or Python really helps but is not essential.",Spring.,BEE 5600,,,,,,,
698,BEE,5710,Physical Hydrology for Ecosystems,Todd Walter,11:20AM,12:10PM,To Be Assigned,"Introduction to physical hydrology with an emphasis on roles and interactions between hydrological processes and ecological, biogeochemical, and human systems.",Prerequisite: MATH 1920 or permission of instructor.,Spring.,BEE 5710,,,,,,,
699,BEE,5910,Advanced Bio-Robotics,Sunghwan Jung,07:30PM,08:20PM,To Be Assigned,Students translate materials learned in BEE 3900/5900 to explore bio-robotics for biological engineering applications such as fruit harvesting. Embedding robotics into biological systems (i.e. plants or animals) will be tested with soft bio-robotics. Students will translate the concept and basic principles of biorobotics into a practical robot in this course. Their designed robot will meet ASABE national robotic competition standards.,Prerequisite: BEE 3900/5900 or equivalent.,Spring.,BEE 5910,,,,,,,
700,BEE,5952,Master of Engineering Design Project,Beth Ahner,,,,Comprehensive engineering design projects relating to the candidate's area of specialization. Projects are supervised by a BEE faculty member on an individual basis. A formal project report and oral presentation of the design project are required for completion of the course(s). A minimum of 3 to a maximum of 9 credits of BEE 5951-5952 is required for the M.Eng. degree.,,Spring.,BEE 5952,,,,,,,
701,BEE,6630,Digital Food Physics and Engineering,Ashim Datta,,,Online Meeting,"Mechanistic, model-based understanding and digital tools critically innovate in the design cycle for products and processes, food manufacturing is no exception. The course will introduce tools such as computational modeling, digital twins, and predictive knowledge bases, exploring deeper into the underlying universal physics-based frameworks describing transformations in food during processing.","Prerequisite: fluid mechanics, heat transfer, and mass transfer, or permission of instructor.",Spring.,BEE 6630,,,,,,,
702,BEE,6710,Introduction to Groundwater,Patrick Fulton,11:20AM,02:20PM,To Be Assigned,"Fresh water has become a limited resource in many parts of the world. In arid and semi-arid regions, groundwater levels are declining at unstainable levels. In several industrial areas, groundwater is contaminated and unsuitable as potable water. Sustainability and pollution of groundwater will be addressed in this course by first understanding the theory of saturated and unsaturated flow and contaminant transport under ideal conditions. Subsequently, we learn to simplify groundwater systems in complex subsurface environments to obtain practical solutions. At the end of the course, the learned material will be put in a broader context as they are affected by natural or human actions. Throughout the course, guest speakers will discuss topics of current interest related to water. This elective course is intended for seniors and graduate students interested in subsurface water and solute transport applications to sustainable groundwater use and prevention of pollution. Well-prepared juniors are welcome too.","Prerequisite: hydrology, geology or fluid mechanics course.",Spring.,BEE 6710,,,,,,,
703,BEE,6880,Applied Modeling and Simulation for Renewable Energy Systems,Jacob Mays,09:40AM,10:55AM,To Be Assigned,"This course will provide an applied introduction to modeling, simulation and optimization techniques for various renewable energy systems. The course will be modular in nature. Each module will focus on a particular renewable energy application and relevant modeling/simulation tools. Some modules are independent and some will build on previous modules. The instructional format of the course will include lectures, scientific paper reviews, and some Julia programming. Students will have an opportunity to apply new techniques to a relevant modeling project. The course will culminate with a modeling project relevant to renewable energy. Graduate students will be required to complete the term project on an individual basis.",,Spring.,BEE 6880,,,,,,,
704,BEE,6940,Graduate Special Topics in Biological and Environmental Engineering,Vivek Srikrishnan,01:00PM,02:15PM,To Be Assigned,The department teaches trial courses under this number. Offerings vary by semester and are advertised by the department. Courses offered under this number will be approved by the department curriculum committee and the same course will not be offered twice under this number. Each 6940 has a unique course ID for enrollment.,,"Fall, Spring.",BEE 6940,,,,,,,
705,BEE,6970,Graduate Individual Study in Biological and Environmental Engineering,Beth Ahner,,,,Topics are arranged by the faculty at the beginning of the semester.,,"Fall, Spring.",BEE 6970,,,,,,,
706,BEE,7710,Soil and Water Engineering Seminar,Tamme Steenhuis,,,To Be Assigned,"Study and discussion of research or design procedures related to selected topics in watershed management, erosion control, hydrology, colloid transport, and water quality.",,"Fall, Spring.",BEE 7710,,,,,,,
707,BENGL,1122,Elementary Bengali II,Razima Chowdhury,,,To Be Assigned,Enables students to read and comprehend basic Bengali texts as well as speak and write in the language.,Prerequisite: BENGL 1121 or examination.,Spring.,BENGL 1122,,,,,,,
708,BENGL,2202,Intermediate Bengali II,Razima Chowdhury,,,To Be Assigned,"Continuing focus on reading, writing, and conversational skills, this course is designed to advance students' oral competence and enhance comprehension skills through reading, conversations, and listening.",Prerequisite: BENGL 2201 or examination.,Spring.,BENGL 2202,,,,,,,
709,BENGL,3302,Advanced Bengali II,Razima Chowdhury,,,To Be Assigned,"Continuing instruction in Bengali at the advanced level focusing on conversation, interview, and discussion skills.",Prerequisite: BENGL 3301.,Spring.,BENGL 3302,,,,,,,
710,BIOAP,2140,Sex Ed: Understanding Human Reproduction,Jeremy Allen,09:40AM,10:55AM,To Be Assigned,"This course will examine human reproductive biology. Topics will address the structural, functional, and endocrine differences between the male and the female primarily as they relate to reproduction. Reproductive aberrations resulting in infertility and assisted reproductive technologies will be discussed. Additionally, non-reproductive differences including physical and behavioral differences will be considered.",Prerequisite: one year of introductory biology (or AP credit).,Spring.,BIOAP 2140,,,,,,,
711,BIOAP,3160,Cellular Physiology,Andrew White,11:20AM,12:10PM,Vet Education Center S1165-LH2,"A comprehensive course covering the general characteristics of eukaryotic cells; the structure, composition, and function of subcellular organelles; and the major signal transduction pathways regulating a variety of physiological cell activities. Among the main subjects covered are absorption and transport processes, mechanism of action of signaling molecules (hormones), the cell cycle and regulation of cell proliferation, cell-cell communication, extracellular matrix, stem cells, apoptosis, and carcinogenesis.","Prerequisite: BIOMG 1350 or previous or concurrent enrollment in BIOMG 3300, BIOMG 3310, BIOMG 3320, BIOMG 3330, or NS 3200.",Spring.,BIOAP 3160,BIOAP 3160,White,A-,SP21,38,,1.0
712,BIOAP,3300,Fish Physiology,Eugene Won,09:40AM,10:55AM,To Be Assigned,"Fish Physiology is an introduction to the functional biology of fish. Lecture topics will cover cellular and tissue function within key physiological systems that help fish thrive in a wide range of aquatic habitats, from mountain streams to deep-sea vents. These systems will be illustrated using a diverse variety of fish, while broader comparisons between fish and higher vertebrates will also be drawn. Discussion will integrate aquaculture, fisheries, and environmental contexts, including some of the anthropogenic challenges that fish face today and what can be done to mitigate them. Students will perform a gross dissection to identify anatomy in situ and visit an aquaculture facility (there is no separate lab section).","Prerequisite: one semester of Introductory Animal Physiology (BIOAP 1100, BIOG 1440, BIOG 1445 or equivalent), or permission of instructor.",Spring.,BIOAP 3300,,,,,,,
713,BIOAP,4130,Histology: The Biology of the Tissues,Keila Dhondt,01:30PM,02:20PM,Vet Education Center S1165-LH2,"Provides students with a basis for understanding the microscopic, fine-structural, and functional organization of vertebrates (primarily mammals), as well as methods of analytic morphology at the cell and tissue levels. Emphasizes dynamic interrelations of structure, composition, and function in cells and tissues.","Prerequisite: BIOMG 1350. Recommended prerequisite: BIOMG 3300 and BIOMG 3310, or equivalent.",Spring.,BIOAP 4130,,,,,,,
714,BIOAP,4140,Principles of Pharmacology,Maurine Linder,02:40PM,03:30PM,Vet Research Tower T1003-LH3,"Undergraduate course surveying system- and organ-related aspects of pharmacology. Topics include mechanisms of drug action; drug disposition; pharmacokinetics; autonomic pharmacology; pharmacology of inflammation, allergy and platelet function; and endocrine, cardiovascular, respiratory, gastrointestinal, and renal pharmacology. The course is designed for undergraduate life science majors, particularly those interested in medical or veterinary school.",Prerequisite: BIOAP 3110 or NS 3410.,Spring.,BIOAP 4140,BIOAP 4140,Weiland/Linder,B+,SP22,28,"Crosslisted with BIOMS 4140, BIONB 4140",-1.0
715,BIOAP,4980,Teaching Experience,,,,To Be Assigned,"Designed to give qualified undergraduate students teaching experience through actual involvement in planning and assisting in biology courses. This experience may include supervised participation in a discussion group, assisting in a biology laboratory, assisting in field biology, or tutoring.",Prerequisite: previous enrollment in course to be taught or equivalent.,"Fall, Spring.",BIOAP 4980,,,,,,,
716,BIOAP,5300,Fish Physiology,Eugene Won,09:40AM,10:55AM,To Be Assigned,"Fish Physiology is an introduction to the functional biology of fish. Lecture topics will cover cellular and tissue function within key physiological systems that help fish thrive in a wide range of aquatic habitats, from mountain streams to deep-sea vents. These systems will be illustrated using a diverse variety of fish, while broader comparisons between fish and higher vertebrates will also be drawn. Discussion will integrate aquaculture, fisheries, and environmental contexts, including some of the anthropogenic challenges that fish face today and what can be done to mitigate them. Students will perform a gross dissection to identify anatomy in situ and visit an aquaculture facility (there is no separate lab section).","Prerequisite: one semester of introductory animal physiology (BIOAP 1100, BIOG 1440, BIOG 1445 or equivalent), or permission of instructor.",Spring.,BIOAP 5300,,,,,,,
717,BIOAP,7100,By Scientific Design: Skill Building for a Career in the Life Sciences II,Ruth Collins,02:45PM,04:15PM,CVM Center S1214 Hagan Rm,"A major goal in biomedical research is to translate advances in basic science into practically useful applications in clinical medicine. This class will provide graduate students with exposure to basic and clinical research, training in critical evaluation of the literature, foster creative thinking, and provide practice in oral defense.",,Spring.,BIOAP 7100,,,,,,,
718,BIOEE,1130,The Art and Science of Birds,Jillian Ditner,02:40PM,04:35PM,To Be Assigned,"Art and science have always been fundamentally linked. Before the invention of photography, illustration was the main documentation tool in science; even now, artistic representations are used to communicate important scientific discoveries. In this course students learn the basics of bird anatomy in tandem with sketching techniques to foster an appreciation of how science and art can reinforce each other in enriching one's life and study. Led by the staff biological illustrator at the Cornell Lab of Ornithology, students begin with the fundamentals of observational drawing to improve accuracy before moving onto watercolors. Interwoven into art lessons are scientific lectures produced by Cornell ornithologists, blending art with current science to cover a range of interconnected topics. No prior bird knowledge or art experience is required or expected.",,Spring.,BIOEE 1130,,,,,,,
719,BIOEE,1610,Introductory Biology: Ecology and the Environment,Robert Howarth,01:30PM,02:20PM,To Be Assigned,"This course provides an introduction to ecology, covering interactions between organisms and the environment at scales of populations, communities, and ecosystems. Ecological principles are used to explore the theory and applications of major issues facing humanity in the 21st century, including population dynamics, disease ecology, biodiversity and invasive species, global change, and other topics of environmental sustainability.",,"Fall, Spring, Summer.",BIOEE 1610,BIOEE 1610,Howarth,B,SP22,282,"ta's make or break this class, multiple lecturers",-1.0
720,BIOEE,1640,FWS: Topics in Ecology and Evolutionary Biology,Jennifer Uehling,01:00PM,02:15PM,To Be Assigned,The First-Year Writing Seminar provides the opportunity to write extensively about issues related to ecology and evolutionary biology. Topics vary by section.,,"Fall, Spring.",BIOEE 1640,,,,,,,
721,BIOEE,1780,An Introduction to Evolutionary Biology and Diversity,Robert Reed,02:45PM,04:00PM,To Be Assigned,"Considers explanations for pattern of diversity and the apparent good fit of organisms to the environment. Topics include the diversity of life, the genetics and developmental basis of evolutionary change, processes at the population level, evolution by natural selection, modes of speciation, long-term trends in evolution, origin of humans.",,"Fall, Spring.",BIOEE 1780,BIOEE 1780,"Drake, Searle et al.",A,FA21,231,there are a lot of professors on the course staff,0.0
722,BIOEE,1781,Introduction to Evolution and Diversity,Christina Hernandez,,,,"Considers explanations for pattern of diversity and the apparent good fit of organisms to the environment. Topics include the diversity of life, the genetics and developmental basis of evolutionary change, processes at the population level, evolution by natural selection, modes of speciation, long-term trends in evolution, origin of humans.",,"Fall, Spring, Summer.",BIOEE 1781,BIOEE 1781,Hernandez,A-,FA19,26,,4.0
723,BIOEE,2527,Neotropical Wildlife Biology,Leonardo Campagna,09:05AM,09:55AM,To Be Assigned,"This on-campus and international field course combination provides participating students with a broad introduction to the research process in field ecology, with literature and hands-on examples drawn from the fauna and flora of coastal Patagonia (Argentina), an area that provides us with unprecedented access to both marine and terrestrial wildlife as well as exposure to conservation challenges and success stories. The course begins in the latter part of the Fall semester (BIOEE 2525) when it meets twice weekly for seven weeks, largely to discuss relevant papers from the scientific literature with an emphasis on best practices in designing field studies to address questions in Neotropical ecology, behavioral ecology, conservation, and evolutionary biology. During the 2+ week field component in January (BIOEE 2526), students travel among field sites in Patagonia and put this knowledge to work in an experiential context by designing and implementing a series of research projects, including numerous short 'blitz' projects and several longer, more intensive independent projects; many of these field studies involve close-hand observations of marine mammals, penguins, or other seabirds. This course (BIOEE 2527) is focused on building skills in data analysis and scientific writing, based on the data collected in the field by each student.",Prerequisite: BIOEE 2525 and BIOEE 2526.,Multi-semester course: (Spring).,BIOEE 2527,,,,,,,
724,BIOEE,2642,Analysis and Interpretation of Bird Observations,Andre Dhondt,08:00AM,08:50AM,To Be Assigned,"Provides students with the opportunity to study birds intensively in a neotropical environment. Students learn observational and field techniques, formulate and participate in group research projects. See BIOEE 2640 for learning outcomes.",Prerequisite: BIOEE 2640 and BIOEE 2641.,Multi-semester course: (Spring).,BIOEE 2642,,,,,,,
